nni_counter,nni_mean,nni_min,nni_max,hr_mean,hr_min,hr_max,hr_std,nni_diff_mean,nni_diff_min,nni_diff_max,sdnn,sdnn_index,sdann,rmssd,sdsd,nn50,pnn50,nn20,pnn20,nni_histogram,tinn_n,tinn_m,tinn,tri_index,abs_energy,autocorr,mean,median,std,entropy,interq_range,mean_abs_dev,mean_abs_diff,mean_diff,median_abs_dev,median_abs_diff,median_diff,kurtosis,skewness,slope,sd1,sd2,total_power,vlf,lf,hf,lf_hf,lfnu,hfnu,bw,spec_ent,spec_decr, spec_dist,spec_kurt, spec_roll_95,spec_skew,spec_var,spec_centroid,energy,fundamental_freq,med_freq,auc,human_energy,ID,session

501,599.370998003992,519.55,1017.6,100.53394388406191,58.9622641509434,115.48455394091042,6.155631406937819,17.1137,0,347,42.62507615244805,23.405671862428072,3.2699304567833476,28.880744793027763,23.287406440121554,23,4.6,135,27.0,Figure(432x432),539.0625,664.0625,125.0,9.10909090909091,180890490.7759,180890490.7759,599.370998003992,591.82,42.582514907533294,0.6571211808220847,39.059999999999945,27.85203357755546,17.1137,0.14453999999999972,19.52999999999986,11.719999999999914,0.0,22.40719410393671,3.2749052838860258,0.001423895794069689,20.441966931247993,56.70908412226171,938.7556536487675,78.77394381144973,282.14178865957643,577.8399211777413,0.48826981023485,32.807882473796916,67.19211752620308,0.25020850708924103,0.5869386287327529,-13.135404174195802,-1278580880.8402078,41.9309146878664,0.6210350584307179,5.699896770478947,0.9147093158753775,0.13189014685994307,2917336.433313428,0.00667779632721202,0.0,180411.23672672745,1.8685487109210753e-05,10,1

505,593.2002772277228,498.06,1017.6,101.69863133880469,58.9622641509434,120.46741356463076,7.158323167959052,15.792083333333332,0,347,46.7949323577611,nan,nan,28.30762328966393,23.516566924310332,25,4.9603174603174605,122,24.206349206349206,Figure(432x432),507.8125,656.25,148.4375,10.306122448979592,178806359.206,178806359.206,593.2002772277228,587.9100000000001,46.74857778238414,0.6812075923713541,44.929999999999836,31.296547240466627,15.792083333333332,-0.18990079365079396,21.49000000000001,9.759999999999991,-1.9500000000000455,16.163524692130515,2.504627977907913,-0.09504362175347868,20.035948777994843,63.07211860481967,1053.0228290444115,173.06760769623025,304.65330137601836,575.3019199721629,0.5295537713323808,34.62145504509404,65.37854495490595,0.26744671959882993,0.5663560080800504,-12.338237852700624,-1283027329.6116662,37.0447795892488,0.6627615062761506,5.424677257631961,0.7676797606829943,0.14189501628058404,2867414.034489312,0.0066945606694560665,0.0,178382.4496209913,1.9992338847976964e-05,10,1

511,586.6976320939334,498.06,1189.5,102.96885128150701,50.441361916771754,120.46741356463076,7.626672845558903,17.766431372549015,0,619,56.648731969866645,nan,nan,56.779941359465255,53.98175099313715,21,4.117647058823529,96,18.823529411764707,Figure(432x432),515.625,656.25,140.625,9.641509433962264,177530041.1841,177530041.18409997,586.6976320939334,580.0999999999999,56.59327553761131,0.6769698689028433,42.97000000000003,32.17395981173478,17.766431372549015,-0.06509803921568615,21.489999999999895,7.810000000000002,-1.9499999999999318,45.22572438693234,5.180010906325137,-0.06824951256187348,40.188875374602624,69.3037658696282,1134.487734720749,278.8345881813383,266.3804558513515,589.2726906880592,0.45204955203390573,31.131826830614273,68.86817316938574,0.27736006683375103,0.6144924825435908,-8.572830027245132,-1431852289.8611312,25.032420666443564,1.0267558528428093,4.237221446659502,0.6605372838324985,0.20761719689736746,2820601.560954567,0.0033444816053511705,0.0,176734.89080508097,0.00012894734487049473,10,1

511,585.9790215264188,498.06,1287.1999999999998,103.1834809709431,46.612802983219396,120.46741356463076,7.790777923791981,19.80403921568627,0,705,63.208848336766266,nan,nan,70.85177208405572,68.09453378497682,21,4.117647058823529,85,16.666666666666664,Figure(432x432),507.8125,656.25,148.4375,10.428571428571429,177500425.22399998,177500425.22399998,585.9790215264188,578.14,63.1469698605174,0.6739514187180949,45.89999999999998,32.547062626138846,19.80403921568627,0.11105882352941152,23.42999999999995,7.809999999999974,0.0,57.829865403659724,6.327699011514276,-0.03611506057902654,50.148896661576835,73.99868363523183,1470.7977349143398,373.7000400373011,467.3618814533493,629.7358134236894,0.7421554745512082,42.59984171288689,57.4001582871131,0.48180677540777916,0.6298032996109033,-7.400850246316657,-1517780663.1455102,23.298525297685256,1.0418760469011725,4.011973469161773,0.7133218815282085,0.22551122632295295,2825545.6798538934,0.006700167504187605,0.0033500837520938024,176455.74265069212,0.00016572312885359614,10,1

509,589.463438113949,498.06,1287.1999999999998,102.62304316232573,46.612802983219396,120.46741356463076,8.075886828757024,20.39728346456693,0,705,64.70827030171311,37.91183867524505,1.6552005643944105,71.10663840179163,68.18545983305624,21,4.133858267716536,94,18.503937007874015,Figure(432x432),507.8125,656.25,148.4375,10.387755102040817,178987854.1451,178987854.1451,589.463438113949,582.05,64.64467493470103,0.6828526602204134,46.879999999999995,34.656569953026285,20.39728346456693,0.019212598425196833,23.440000000000055,7.810000000000059,0.0,51.47335537097639,5.850802068042251,0.0659182132454181,50.32954572284247,76.42811863582305,1365.2523602502538,530.8527729745903,423.36397229894465,411.035614976719,1.0299934041553163,50.73875619728422,49.261243802715796,0.5609348914858097,0.6200056817005238,-7.394984479054406,-1537029185.386326,23.519008245694376,1.035923141186299,4.027578051177887,0.6419558342689131,0.2231161449047092,2862891.561619002,0.003341687552213868,0.003341687552213868,177961.63282268483,0.00016130454700678356,10,1

