RR_timestamps_ST,RR_ST,target
1642600370930,820,0
1642600370949,820,0
1642600371756,825,0
1642600371775,825,0
1642600372543,864,0
1642600372562,864,0
1642600373404,841,0
1642600373423,841,0
1642600374268,815,0
1642600374285,815,0
1642600375093,853,0
1642600375112,853,0
1642600375993,929,0
1642600376011,929,0
1642600376893,882,0
1642600376912,882,0
1642600377724,823,0
1642600377743,823,0
1642600378517,812,0
1642600378536,812,0
1642600379457,857,0
1642600379477,857,0
1642600380280,854,0
1642600380298,854,0
1642600381181,903,0
1642600381200,903,0
1642600382068,910,0
1642600382087,910,0
1642600382818,797,0
1642600382836,797,0
1642600383543,768,0
1642600383561,768,0
1642600384429,779,0
1642600384448,779,0
1642600385144,777,0
1642600385161,777,0
1642600386005,795,0
1642600386024,795,0
1642600386759,833,0
1642600386777,833,0
1642600387635,829,0
1642600387653,829,0
1642600388442,851,0
1642600388460,851,0
1642600389307,855,0
1642600389324,855,0
1642600390206,789,0
1642600390224,789,0
1642600390881,780,0
1642600390900,780,0
1642600391893,812,0
1642600391912,812,0
1642600392529,827,0
1642600392548,827,0
1642600393431,840,0
1642600393450,840,0
1642600394143,817,0
1642600394160,817,0
1642600394980,787,0
1642600394999,787,0
1642600395756,823,0
1642600395775,823,0
1642600396619,811,0
1642600396637,811,0
1642600397405,780,0
1642600397423,780,0
1642600398156,790,0
1642600398173,790,0
1642600399018,815,0
1642600399036,815,0
1642600399881,837,0
1642600399900,837,0
1642600400744,822,0
1642600400763,822,0
1642600401432,812,0
1642600401450,812,0
1642600402281,775,0
1642600402298,775,0
1642600404293,755,0
1642600404312,755,0
1642600405218,846,0
1642600405237,846,0
1642600405956,854,0
1642600405975,854,0
1642600406794,813,0
1642600406812,813,0
1642600407505,796,0
1642600407523,796,0
1642600408506,781,0
1642600408524,781,0
1642600409144,781,0
1642600409162,781,0
1642600409932,775,0
1642600409951,775,0
1642600410645,761,0
1642600410664,761,0
1642600411468,742,0
1642600411486,742,0
1642600412232,745,0
1642600412249,745,0
1642600412894,761,0
1642600412912,761,0
1642600413793,794,0
1642600413812,794,0
1642600414634,827,0
1642600414653,827,0
1642600415532,870,0
1642600415552,870,0
1642600416419,886,0
1642600416437,886,0
1642600417245,899,0
1642600417262,899,0
