RR_timestamps_ST,RR_ST,target
1642427644454,659,0
1642427645171,742,0
1642427645923,717,0
1642427646561,685,0
1642427647228,672,0
1642427647867,666,0
1642427648580,666,0
1642427649328,670,0
1642427649930,700,0
1642427650722,717,0
1642427651393,703,0
1642427652028,690,0
1642427652745,674,0
1642427653347,663,0
1642427654061,657,0
1642427654730,654,0
1642427655366,658,0
1642427656942,664,0
1642427657624,653,0
1642427658328,656,0
1642427659005,666,0
1642427659761,714,0
1642427660441,780,0
1642427661034,654,0
1642427661743,610,0
1642427662303,593,0
1642427662867,590,0
1642427663430,573,0
1642427663997,561,0
1642427664554,559,0
1642427665115,562,0
1642427665686,557,0
1642427666241,569,0
1642427666805,579,0
1642427667366,582,0
1642427668006,585,0
1642427668568,587,0
1642427669241,591,0
1642427669767,605,0
1642427670366,605,0
1642427671049,606,0
1642427671718,608,0
1642427672172,608,0
1642427672805,609,0
1642427673481,610,0
1642427674047,610,0
1642427674643,609,0
1642427675278,607,0
1642427675881,607,0
1642427676518,608,0
1642427677078,609,0
1642427677793,610,0
1642427678316,611,0
1642427678956,614,0
1642427679562,614,0
1642427680116,613,0
1642427680762,610,0
1642427681403,609,0
1642427681922,605,0
1642427682593,597,0
1642427683123,587,0
1642427683756,585,0
1642427684285,590,0
1642427684993,590,0
1642427685487,586,0
1642427686154,592,0
1642427686649,592,0
1642427687248,593,0
1642427687881,590,0
1642427688453,583,0
1642427689085,583,0
1642427689644,589,0
1642427690248,606,0
1642427690881,565,0
1642427691366,569,0
1642427691931,588,0
1642427692568,602,0
1642427693129,594,0
1642427693775,592,0
1642427694335,602,0
1642427695006,632,0
1642427695681,650,0
1642427696248,623,0
1642427696918,602,0
1642427697481,580,0
1642427698048,550,0
1642427698617,581,0
1642427699242,620,0
1642427699844,618,0
1642427700443,620,0
1642427701041,623,0
1642427701762,626,0
1642427702317,631,0
1642427702993,643,0
1642427703744,664,0
1642427704311,664,0
1642427704988,669,0
1642427705742,681,0
1642427706328,656,0
1642427707006,659,0
1642427707644,664,0
1642427708316,654,0
1642427708962,664,0
1642427709638,640,0
1642427710267,636,0
1642427710913,634,0
1642427711512,632,0
1642427712142,632,0
1642427712787,631,0
1642427713343,599,0
1642427713943,565,0
1642427714550,632,0
1642427715216,645,0
1642427715894,643,0
1642427716419,606,0
1642427716867,487,0
1642427717507,566,0
1642427718111,629,0
1642427718781,638,0
1642427719457,641,0
1642427720062,635,0
1642427720664,621,0
1642427721217,560,0
1642427721749,542,0
1642427722419,619,0
1642427723061,663,0
1642427723770,658,0
1642427724367,647,0
1642427725045,644,0
1642427725726,644,0
1642427726286,640,0
1642427726964,635,0
1642427727563,634,0
1642427728229,631,0
1642427728832,634,0
1642427729507,639,0
1642427730142,625,0
1642427730754,650,0
1642427731494,645,0
1642427732092,653,0
1642427732769,714,0
1642427733445,646,0
1642427734043,642,0
1642427734720,644,0
1642427735355,650,0
1642427735994,645,0
1642427736639,634,0
1642427737268,621,0
1642427737870,610,0
1642427738470,603,0
1642427739068,610,0
1642427739751,610,0
1642427740268,600,0
1642427740876,595,0
1642427741433,597,0
1642427742036,603,0
1642427742745,611,0
1642427743305,615,0
1642427744020,618,0
1642427744442,569,0
1642427745068,553,0
1642427745752,617,0
1642427746274,625,0
1642427746945,635,0
1642427747589,637,0
1642427748218,640,0
1642427748820,636,0
1642427749495,608,0
1642427750093,611,0
1642427750732,619,0
1642427751293,636,0
1642427752014,658,0
1642427752726,663,0
1642427753325,659,0
1642427753964,660,0
1642427754677,669,0
1642427755306,677,0
1642427756020,675,0
1642427756733,674,0
1642427757368,670,0
1642427758008,666,0
1642427758720,662,0
1642427759287,656,0
1642427759958,638,0
1642427760558,625,0
1642427761162,625,0
1642427761915,637,0
1642427762508,652,0
1642427763144,636,0
1642427763821,647,0
1642427764430,647,0
1642427765062,646,0
1642427765820,642,0
1642427766483,637,0
1642427766975,634,0
1642427767646,633,0
1642427768356,637,0
1642427768853,642,0
1642427769522,627,0
1642427770125,626,0
1642427770727,626,0
1642427771395,628,0
1642427772068,630,0
1642427772752,631,0
1642427773307,632,0
1642427773946,634,0
1642427774627,635,0
1642427775219,636,0
1642427775977,634,0
1642427776496,634,0
1642427777093,635,0
1642427777111,634,0
1642427777734,596,0
1642427778369,618,0
1642427779053,615,0
1642427779646,654,0
1642427780288,640,0
1642427780921,613,0
1642427781521,621,0
1642427782231,642,0
1642427782833,646,0
1642427783444,661,0
1642427784068,592,0
1642427784746,626,0
1642427785313,646,0
1642427786021,676,0
1642427786621,635,0
1642427787294,639,0
1642427787977,635,0
1642427788572,682,0
1642427789250,659,0
1642427789883,641,0
1642427790456,621,0
1642427791125,613,0
1642427791765,639,0
1642427792472,638,0
1642427793000,627,0
1642427793634,615,0
1642427794269,603,0
1642427794834,594,0
1642427795509,633,0
1642427796144,648,0
1642427796752,644,0
1642427797307,613,0
1642427798022,633,0
1642427798734,638,0
1642427799295,643,0
1642427801103,653,0
1642427801772,645,0
1642427802446,642,0
1642427803120,666,0
1642427803834,687,0
1642427804444,663,0
1642427805107,657,0
1642427805672,621,0
1642427806307,630,0
1642427806991,633,0
1642427807622,636,0
1642427808257,636,0
1642427809122,646,0
1642427810434,649,0
1642427811107,641,0
1642427811753,632,0
1642427812314,614,0
1642427812990,625,0
1642427813621,632,0
1642427814257,636,0
1642427814866,638,0
1642427815534,640,0
1642427816245,638,0
1642427816809,635,0
1642427817419,634,0
1642427818083,635,0
1642427818723,635,0
1642427819282,619,0
1642427819961,619,0
1642427820561,636,0
1642427821164,637,0
1642427821878,637,0
1642427822435,621,0
1642427823039,615,0
1642427823747,620,0
1642427824308,627,0
1642427825022,641,0
1642427825735,667,0
1642427826301,671,0
1642427826973,666,0
1642427827691,664,0
1642427828320,657,0
1642427828960,649,0
1642427829635,648,0
1642427830239,648,0
1642427830872,645,0
1642427831585,645,0
1642427832220,645,0
1642427832860,645,0
1642427833497,646,0
1642427834134,646,0
1642427834773,645,0
1642427835447,646,0
1642427836051,649,0
1642427836729,653,0
1642427837397,655,0
1642427838070,653,0
1642427838748,651,0
1642427839383,651,0
1642427839985,652,0
1642427840622,654,0
1642427841333,652,0
1642427841936,649,0
1642427842648,647,0
1642427843252,648,0
1642427843891,649,0
1642427844560,648,0
1642427845084,713,0
1642427845873,651,0
1642427846660,682,0
1642427847227,655,0
1642427847936,692,0
1642427848692,662,0
1642427849065,630,0
1642427850561,684,0
1642427851271,679,0
1642427851916,672,0
1642427852623,667,0
1642427863515,663,0
1642427864244,657,0
1642427864887,652,0
1642427865511,649,0
1642427866181,638,0
1642427866776,641,0
1642427867413,642,0
1642427868124,649,0
1642427868657,645,0
1642427869324,640,0
1642427869964,640,0
1642427870644,639,0
1642427871243,637,0
1642427871876,637,0
1642427872510,633,0
1642427873074,626,0
1642427873752,606,0
1642427874312,585,0
1642427874951,594,0
1642427875551,621,0
1642427876224,643,0
1642427876901,651,0
1642427877576,662,0
1642427878249,682,0
1642427878889,680,0
1642427879564,680,0
1642427880274,677,0
1642427880951,675,0
1642427881626,673,0
1642427882268,672,0
1642427882945,671,0
1642427883651,673,0
1642427884324,671,0
1642427884926,669,0
1642427885608,669,0
1642427886318,669,0
1642427886951,666,0
1642427887626,664,0
1642427888337,663,0
1642427888939,664,0
1642427889652,666,0
1642427890325,669,0
1642427890932,670,0
1642427891607,669,0
1642427892319,668,0
1642427892952,668,0
1642427893664,666,0
1642427894375,662,0
1642427894935,660,0
1642427895652,661,0
1642427896257,660,0
1642427896933,652,0
1642427897601,660,0
1642427898243,659,0
1642427898876,634,0
1642427899521,662,0
1642427900231,645,0
1642427900864,675,0
1642427901614,685,0
1642427902181,653,0
1642427902858,656,0
1642427903527,637,0
1642427904237,685,0
1642427904914,688,0
1642427905521,633,0
1642427906119,641,0
1642427906826,653,0
1642427907465,660,0
1642427908137,687,0
1642427908777,634,0
1642427909344,641,0
1642427910059,662,0
1642427910727,685,0
1642427911449,701,0
1642427912076,659,0
1642427912714,648,0
1642427913465,681,0
1642427914137,684,0
1642427914858,688,0
1642427915452,656,0
1642427916237,686,0
1642427916952,676,0
1642427918122,685,0
1642427918833,686,0
1642427919509,683,0
1642427920219,676,0
1642427920783,668,0
1642427921490,666,0
1642427922125,657,0
1642427922802,649,0
1642427923450,647,0
1642427924045,648,0
1642427924759,652,0
1642427925437,659,0
1642427926107,674,0
1642427926784,698,0
1642427927490,701,0
1642427928169,701,0
1642427928884,699,0
1642427929515,690,0
1642427930232,680,0
1642427930946,673,0
1642427931577,668,0
1642427932251,651,0
1642427932890,642,0
1642427933500,644,0
1642427934244,654,0
1642427934884,672,0
1642427935515,658,0
1642427936225,659,0
1642427936865,664,0
1642427937503,670,0
1642427938214,674,0
1642427938928,673,0
1642427939572,671,0
1642427940245,673,0
1642427940884,671,0
1642427941590,671,0
1642427942226,672,0
1642427942941,681,0
1642427943614,694,0
1642427944220,678,0
1642427944934,659,0
1642427945609,658,0
1642427946289,663,0
1642427946953,677,0
1642427947553,651,0
1642427948232,657,0
1642427948866,660,0
1642427949579,654,0
1642427950213,637,0
1642427950747,604,0
1642427951301,551,0
1642427951947,589,0
1642427952578,635,0
1642427953251,652,0
1642427953890,660,0
1642427954566,661,0
1642427955239,662,0
1642427955884,662,0
1642427956554,663,0
1642427957226,663,0
1642427957903,663,0
1642427958481,662,0
1642427959176,661,0
1642427959891,663,0
1642427960497,663,0
1642427961245,661,0
1642427961803,660,0
1642427962516,658,0
1642427963114,657,0
1642427963829,656,0
1642427964439,652,0
1642427965064,644,0
1642427965748,629,0
1642427966416,631,0
1642427967021,633,0
1642427967622,635,0
1642427968251,637,0
1642427968897,639,0
1642427969567,641,0
1642427970240,643,0
1642427970804,646,0
1642427971517,656,0
1642427972227,678,0
1642427972866,686,0
1642427973579,686,0
1642427974252,689,0
1642427974929,690,0
1642427975641,686,0
1642427976314,677,0
1642427976954,654,0
1642427977629,658,0
1642427978302,662,0
1642427979016,694,0
1642427979729,710,0
1642427980452,703,0
1642427981152,706,0
1642427981873,750,0
1642427982579,710,0
1642427983252,684,0
1642427983973,675,0
1642427984535,669,0
1642427985278,666,0
1642427985878,654,0
1642427986523,639,0
1642427987121,625,0
1642427987754,623,0
1642427988466,638,0
1642427989064,656,0
1642427989742,673,0
1642427990454,691,0
1642427991127,673,0
1642427991804,686,0
1642427992555,702,0
1642427993265,697,0
1642427993942,691,0
1642427994579,681,0
1642427995290,672,0
1642427995966,664,0
1642427996573,655,0
1642427997240,643,0
1642427997804,630,0
1642427998479,617,0
1642427999115,626,0
1642427999717,634,0
1642428000431,638,0
1642428000996,641,0
1642428001629,637,0
1642428002303,634,0
1642428002942,659,0
1642428003617,665,0
1642428004265,669,0
1642428004973,674,0
1642428005643,679,0
1642428006320,684,0
1642428007036,687,0
1642428007065,666,0
1642428007786,674,0
1642428008378,651,0
1642428009024,637,0
1642428009660,641,0
1642428010327,647,0
1642428011005,653,0
1642428011642,639,0
1642428012278,657,0
1642428012992,674,0
1642428013599,642,0
1642428014228,660,0
1642428014942,667,0
1642428015624,670,0
1642428016253,664,0
1642428016967,642,0
1642428017643,673,0
1642428018247,688,0
1642428019031,698,0
1642428019674,680,0
1642428020378,664,0
1642428021056,712,0
1642428021767,655,0
1642428022328,639,0
1642428023004,669,0
1642428023643,655,0
1642428024316,674,0
1642428025074,704,0
1642428025490,669,0
1642428026455,707,0
1642428027097,741,0
1642428027955,733,0
1642428028366,676,0
1642428029305,710,0
1642428030017,707,0
1642428030774,753,0
1642428031453,671,0
1642428032123,691,0
1642428032725,664,0
1642428033506,722,0
1642428034066,633,0
1642428034750,643,0
1642428035379,670,0
1642428036137,706,0
1642428036805,703,0
1642428037443,674,0
1642428038266,717,0
1642428038949,699,0
1642428039768,723,0
1642428040931,693,0
1642428041649,696,0
1642428042316,698,0
1642428043075,699,0
1642428043743,699,0
1642428044466,694,0
1642428045060,678,0
1642428045737,664,0
1642428046366,648,0
1642428047043,646,0
1642428047755,667,0
1642428048476,688,0
1642428049178,697,0
1642428049818,704,0
1642428050569,707,0
1642428051248,723,0
1642428051993,722,0
1642428052744,716,0
1642428053456,711,0
1642428054129,705,0
1642428054813,702,0
1642428055491,698,0
1642428056154,697,0
1642428056875,689,0
1642428057550,675,0
1642428058254,666,0
1642428059006,676,0
1642428059579,676,0
1642428060249,677,0
1642428060956,679,0
1642428061631,682,0
1642428062279,686,0
1642428062981,691,0
1642428063663,693,0
1642428064373,696,0
1642428065118,697,0
1642428065831,698,0
1642428066469,700,0
1642428067223,697,0
1642428067894,698,0
1642428068570,691,0
1642428069249,677,0
1642428069957,663,0
1642428070563,654,0
1642428071229,650,0
1642428071869,654,0
1642428072581,666,0
1642428073254,675,0
1642428073931,685,0
1642428074613,690,0
1642428075285,693,0
1642428075994,691,0
1642428076676,687,0
1642428077351,685,0
1642428078063,684,0
1642428078732,669,0
1642428079367,655,0
1642428080044,654,0
1642428080758,655,0
1642428080774,679,0
1642428081432,668,0
1642428082068,715,0
1642428082819,713,0
1642428083576,708,0
1642428084243,666,0
1642428084882,675,0
1642428085605,673,0
1642428086236,793,0
1642428086876,699,0
1642428087620,617,0
1642428088255,587,0
1642428088932,673,0
1642428089645,674,0
1642428090243,694,0
1642428090957,662,0
1642428091564,666,0
1642428092236,683,0
1642428093020,682,0
1642428093664,685,0
1642428094255,647,0
1642428094933,647,0
1642428095645,670,0
1642428096280,668,0
1642428096994,681,0
1642428097564,629,0
1642428098312,680,0
1642428099020,686,0
1642428099733,700,0
1642428100445,682,0
1642428101080,650,0
1642428101720,670,0
1642428102395,677,0
1642428103068,697,0
1642428103744,682,0
1642428104343,652,0
1642428105094,677,0
1642428105739,670,0
1642428106558,682,0
1642428107005,631,0
1642428107652,641,0
1642428108395,655,0
1642428108999,678,0
1642428109746,675,0
1642428110268,647,0
1642428110945,640,0
1642428111733,670,0
1642428112412,696,0
1642428113124,677,0
1642428113721,644,0
1642428114325,637,0
1642428114996,676,0
1642428115752,677,0
1642428116312,658,0
1642428116945,663,0
1642428117621,638,0
1642428118262,665,0
1642428118939,656,0
1642428119577,647,0
1642428120137,628,0
1642428120882,673,0
1642428121558,677,0
1642428122267,679,0
1642428122946,649,0
1642428123481,648,0
1642428124257,672,0
1642428124864,663,0
1642428125540,733,0
1642428126244,670,0
1642428126883,669,0
1642428127521,665,0
1642428128231,660,0
1642428128802,656,0
1642428129477,653,0
1642428130144,649,0
1642428130746,647,0
1642428131458,648,0
1642428132100,652,0
1642428132733,653,0
1642428133408,653,0
1642428134081,653,0
1642428134721,656,0
1642428135396,660,0
1642428136000,663,0
1642428136752,664,0
1642428137387,663,0
1642428138021,662,0
1642428138734,661,0
1642428139338,658,0
1642428140008,652,0
1642428140653,645,0
1642428141281,640,0
1642428141884,637,0
1642428142490,621,0
1642428143156,617,0
1642428143759,620,0
1642428144363,625,0
1642428145034,631,0
1642428145634,636,0
1642428146306,640,0
1642428146947,649,0
1642428147628,674,0
1642428148300,680,0
1642428149015,684,0
1642428149728,686,0
1642428150356,685,0
1642428151071,680,0
1642428151088,633,0
1642428151747,622,0
1642428152351,665,0
1642428153059,675,0
1642428153734,681,0
1642428154369,667,0
1642428155759,657,0
1642428156288,654,0
1642428156997,653,0
1642428157634,652,0
1642428158308,658,0
1642428158946,665,0
1642428159622,671,0
1642428160332,673,0
1642428161047,674,0
1642428161653,673,0
1642428162320,673,0
1642428163003,670,0
1642428163753,665,0
1642428164307,663,0
1642428165022,661,0
1642428165622,660,0
1642428166332,658,0
1642428166941,642,0
1642428167578,629,0
1642428168244,629,0
1642428168809,643,0
1642428169449,661,0
1642428170157,681,0
1642428170878,691,0
1642428171510,660,0
1642428172145,665,0
1642428172866,683,0
1642428173647,699,0
1642428174320,690,0
1642428174997,677,0
1642428175558,759,0
1642428176947,705,0
1642428177622,694,0
1642428178370,684,0
1642428179047,676,0
1642428179647,666,0
1642428180058,570,0
1642428181297,638,0
1642428182010,654,0
1642428182620,656,0
1642428183295,660,0
1642428183960,665,0
1642428184635,667,0
1642428185315,668,0
1642428186022,672,0
1642428186622,675,0
1642428187332,678,0
1642428188010,685,0
1642428188722,697,0
1642428188745,699,0
1642428189510,708,0
1642428190258,706,0
1642428190860,696,0
1642428191648,704,0
1642428192364,735,0
1642428193222,751,0
1642428193898,757,0
1642428194573,684,0
1642428195326,702,0
1642428195998,729,0
1642428196754,696,0
1642428197383,685,0
1642428198060,685,0
1642428198773,684,0
1642428199410,680,0
1642428200120,706,0
1642428200722,668,0
1642428201321,697,0
1642428202223,671,0
1642428202829,664,0
1642428203463,645,0
1642428204133,642,0
1642428204773,658,0
1642428205448,675,0
1642428206121,687,0
1642428206836,695,0
1642428207510,672,0
1642428208258,675,0
1642428208867,677,0
1642428209505,673,0
1642428210246,666,0
1642428210886,661,0
1642428211495,648,0
1642428212160,641,0
1642428212761,647,0
1642428213440,644,0
1642428214108,675,0
1642428214823,684,0
1642428215536,687,0
1642428216253,684,0
1642428216886,677,0
1642428217499,669,0
1642428218240,655,0
1642428218836,649,0
1642428219480,672,0
1642428220146,657,0
1642428220823,652,0
1642428221423,653,0
1642428222096,655,0
1642428222773,658,0
1642428223486,655,0
1642428224084,658,0
1642428224761,662,0
1642428225440,666,0
1642428226078,670,0
1642428226749,674,0
1642428227478,676,0
1642428228134,676,0
1642428228811,674,0
1642428229420,669,0
1642428230128,665,0
1642428230874,664,0
1642428231441,663,0
1642428232147,661,0
1642428232749,660,0
1642428233466,660,0
1642428234096,660,0
1642428234743,661,0
1642428235449,662,0
1642428235465,678,0
1642428236272,706,0
1642428236874,653,0
1642428237521,694,0
1642428238259,673,0
1642428238868,671,0
1642428239649,687,0
1642428240178,666,0
1642428240962,671,0
1642428241524,674,0
1642428242309,673,0
1642428242956,687,0
1642428243511,662,0
1642428244411,665,0
1642428244934,680,0
1642428245725,700,0
1642428246322,678,0
1642428246999,671,0
1642428247755,720,0
1642428248468,625,0
1642428249737,699,0
1642428250412,692,0
1642428251047,679,0
1642428251805,679,0
1642428252437,672,0
1642428253078,643,0
1642428253681,627,0
1642428254347,632,0
1642428254957,640,0
1642428255586,643,0
1642428256259,646,0
1642428256899,650,0
1642428257574,652,0
1642428258248,654,0
1642428259000,655,0
1642428259497,660,0
1642428260167,670,0
1642428260881,685,0
1642428261556,669,0
1642428262222,671,0
1642428262943,675,0
1642428263584,693,0
1642428264061,621,0
1642428265637,666,0
1642428266273,663,0
1642428266949,659,0
1642428267587,657,0
1642428268266,655,0
1642428268899,654,0
1642428269574,657,0
1642428270210,662,0
1642428270888,666,0
1642428271600,668,0
1642428272242,668,0
1642428272912,670,0
1642428273588,679,0
1642428274266,694,0
1642428274938,678,0
1642428275650,697,0
1642428275723,704,0
1642428276400,683,0
1642428276999,625,0
1642428277713,679,0
1642428278385,679,0
1642428279138,703,0
1642428279775,655,0
1642428280335,638,0
1642428281051,674,0
1642428281725,687,0
1642428282401,659,0
1642428282999,655,0
1642428283750,692,0
1642428284385,679,0
1642428285106,687,0
1642428285745,662,0
1642428286450,688,0
1642428287048,669,0
1642428287650,672,0
1642428288367,673,0
1642428289000,666,0
1642428289644,651,0
1642428290236,600,0
1642428290837,551,0
1642428291483,603,0
1642428291961,604,0
1642428292607,585,0
1642428293242,641,0
1642428293988,693,0
1642428294663,676,0
1642428295336,676,0
1642428296051,676,0
1642428296725,676,0
1642428297330,670,0
1642428298007,680,0
1642428298750,694,0
1642428299576,735,0
1642428300361,848,0
1642428301000,717,0
1642428301713,691,0
1642428302501,687,0
1642428303099,707,0
1642428303813,702,0
1642428304526,699,0
1642428305236,699,0
1642428305950,704,0
1642428306745,729,0
1642428307380,728,0
1642428308126,731,0
1642428308876,729,0
1642428309589,718,0
1642428310230,703,0
1642428310945,686,0
1642428311651,673,0
1642428312401,677,0
1642428312961,680,0
1642428313714,686,0
1642428314395,691,0
1642428315068,691,0
1642428315745,688,0
1642428316461,688,0
1642428317131,689,0
1642428317802,691,0
1642428318523,693,0
1642428319230,694,0
1642428319902,698,0
1642428320576,700,0
1642428321324,699,0
1642428321362,712,0
1642428322045,701,0
1642428322714,654,0
1642428323427,677,0
1642428324025,675,0
1642428324820,687,0
1642428325461,688,0
1642428326124,672,0
1642428326764,683,0
1642428327438,702,0
1642428328156,718,0
1642428328939,706,0
1642428329545,688,0
1642428330325,703,0
1642428331076,728,0
1642428331751,721,0
1642428332464,683,0
1642428333143,748,0
1642428333933,687,0
1642428334564,705,0
1642428335312,705,0
1642428335951,663,0
1642428336627,693,0
1642428337337,689,0
1642428338014,703,0
1642428338727,694,0
1642428339401,670,0
1642428340075,692,0
1642428340833,726,0
1642428341586,731,0
1642428342325,740,0
1642428343001,721,0
1642428343826,731,0
1642428344577,770,0
1642428345331,754,0
1642428346039,719,0
1642428346721,702,0
1642428347465,700,0
1642428348137,700,0
1642428348777,664,0
1642428349343,662,0
1642428350089,679,0
1642428350733,718,0
1642428351591,741,0
1642428352225,708,0
1642428352978,722,0
1642428353878,747,0
1642428354590,772,0
1642428355263,709,0
1642428355940,697,0
1642428356653,774,0
1642428357402,734,0
1642428358752,725,0
1642428359512,716,0
1642428360249,705,0
1642428360896,693,0
1642428361565,684,0
1642428362163,667,0
1642428362846,654,0
1642428363557,656,0
1642428364225,660,0
1642428364902,665,0
1642428365502,674,0
1642428366251,684,0
1642428366965,692,0
1642428367640,702,0
1642428368438,716,0
1642428369138,739,0
1642428369213,775,0
1642428370538,732,0
1642428371245,719,0
1642428372027,709,0
1642428372741,701,0
1642428373376,696,0
1642428374053,676,0
1642428374734,666,0
1642428375402,666,0
1642428376076,669,0
1642428376716,668,0
1642428377388,671,0
1642428378065,676,0
1642428378779,683,0
1642428379452,690,0
1642428380125,695,0
1642428380878,702,0
1642428381591,710,0
1642428382226,716,0
1642428383054,718,0
1642428383728,714,0
1642428384403,705,0
1642428385120,697,0
1642428385828,694,0
1642428386540,694,0
1642428387220,691,0
1642428387897,685,0
1642428388572,680,0
1642428389282,679,0
1642428389953,683,0
1642428390628,696,0
1642428391339,715,0
1642428392016,698,0
1642428392766,706,0
1642428393516,730,0
1642428394232,729,0
1642428394941,723,0
1642428395654,715,0
1642428396326,706,0
1642428397041,700,0
1642428397760,697,0
1642428398438,698,0
1642428399107,703,0
1642428399890,711,0
1642428400566,714,0
1642428401314,718,0
1642428401997,722,0
1642428402741,728,0
1642428403530,732,0
1642428404240,730,0
1642428404922,723,0
1642428405635,718,0
1642428406339,712,0
1642428407054,704,0
1642428407767,693,0
1642428408364,712,0
1642428409085,725,0
1642428409716,706,0
1642428410510,690,0
1642428411214,718,0
1642428411891,717,0
1642428412716,714,0
1642428413320,691,0
1642428413997,686,0
1642428414748,703,0
1642428415376,687,0
1642428416130,723,0
1642428416805,700,0
1642428417521,689,0
1642428418233,737,0
1642428419016,745,0
1642428419766,752,0
1642428420441,724,0
1642428421233,684,0
1642428421866,695,0
1642428422511,797,0
1642428423258,723,0
1642428424003,711,0
1642428424642,697,0
1642428425314,683,0
1642428425991,665,0
1642428426742,664,0
1642428427377,682,0
1642428428092,693,0
1642428428767,684,0
1642428429371,674,0
1642428430079,670,0
1642428430754,667,0
1642428431392,667,0
1642428432065,669,0
1642428432779,671,0
1642428433465,675,0
1642428434128,683,0
1642428434810,689,0
1642428435480,692,0
1642428436159,699,0
1642428436942,729,0
1642428437730,736,0
1642428438479,737,0
1642428439121,736,0
1642428439867,732,0
1642428439884,726,0
1642428440804,727,0
1642428442755,726,0
1642428443505,723,0
1642428444215,716,0
1642428444929,706,0
1642428445648,698,0
1642428446321,691,0
1642428446998,687,0
1642428447668,677,0
1642428448309,674,0
1642428449092,704,0
1642428449767,715,0
1642428450518,721,0
1642428451234,728,0
1642428451949,730,0
1642428452730,729,0
1642428453442,728,0
1642428454116,722,0
1642428454867,715,0
1642428455581,711,0
1642428455598,722,0
1642428456328,711,0
1642428456930,685,0
1642428457717,715,0
1642428458316,703,0
1642428459068,705,0
1642428459743,706,0
1642428460502,669,0
1642428461247,699,0
1642428461961,725,0
1642428462674,741,0
1642428463302,699,0
1642428464130,734,0
1642428464805,719,0
1642428465561,765,0
1642428466304,697,0
1642428466942,679,0
1642428467655,686,0
1642428468297,703,0
1642428468974,689,0
