RR_timestamps_ST,RR_ST,target
1647260940955,629,0
1647260940972,629,0
1647260941631,631,0
1647260941647,631,0
1647260942205,634,0
1647260942224,634,0
1647260942804,621,0
1647260942823,621,0
1647260943469,632,0
1647260943486,632,0
1647260944144,675,0
1647260944161,675,0
1647260944704,617,0
1647260944721,617,0
1647260945306,600,0
1647260945323,600,0
1647260945905,584,0
1647260945922,584,0
1647260946468,502,0
1647260946486,502,0
1647260946955,552,0
1647260946973,552,0
1647260947556,603,0
1647260947574,603,0
1647260948231,621,0
1647260948248,621,0
1647260948804,615,0
1647260948821,615,0
1647260949431,615,0
1647260949449,615,0
1647260950004,610,0
1647260950021,610,0
1647260950681,600,0
1647260950697,600,0
1647260951280,604,0
1647260951297,604,0
1647260951879,607,0
1647260951897,607,0
1647260952357,568,0
1647260952374,568,0
1647260952918,496,0
1647260952935,496,0
1647260953531,576,0
1647260953547,576,0
1647260954170,610,0
1647260954187,610,0
1647260954680,617,0
1647260954698,617,0
1647260955331,618,0
1647260955348,618,0
1647260956004,611,0
1647260956020,611,0
1647260956556,608,0
1647260956573,608,0
1647260957206,621,0
1647260957223,621,0
1647260957879,629,0
1647260957897,629,0
1647260958431,639,0
1647260958449,639,0
1647260959219,653,0
1647260959237,653,0
1647260959930,675,0
1647260959947,675,0
1647260960544,653,0
1647260960562,653,0
1647260961169,661,0
1647260961186,661,0
1647260961816,683,0
1647260961833,683,0
1647260962481,657,0
1647260962498,657,0
1647260963157,639,0
1647260963174,639,0
1647260963755,618,0
1647260963771,618,0
1647260964244,590,0
1647260964262,590,0
1647260964855,586,0
1647260964871,586,0
1647260965445,601,0
1647260965452,601,0
1647260966055,604,0
1647260966074,604,0
1647260966680,633,0
1647260966698,633,0
1647260967331,633,0
1647260967348,633,0
1647260967955,617,0
1647260967972,617,0
1647260968553,606,0
1647260968566,606,0
1647260969157,598,0
1647260969170,598,0
1647260969792,595,0
1647260969810,595,0
1647260970356,599,0
1647260970390,599,0
1647260970954,603,0
1647260970969,603,0
1647260971556,611,0
1647260971574,611,0
1647260972232,614,0
1647260972249,614,0
1647260972846,617,0
1647260972864,617,0
1647260973467,620,0
1647260973480,620,0
1647260973992,620,0
1647260974009,620,0
1647260974706,611,0
1647260974723,611,0
1647260975318,614,0
1647260975334,614,0
1647260975917,628,0
1647260975935,628,0
1647260976544,633,0
1647260976561,633,0
1647260977219,606,0
1647260977235,606,0
1647260978042,613,0
1647260978059,613,0
1647260979369,622,0
1647260979387,622,0
1647260979918,603,0
1647260979936,603,0
1647260980532,603,0
1647260980548,603,0
1647260981171,614,0
1647260981188,614,0
1647260981793,627,0
1647260981810,627,0
1647260982431,623,0
1647260982449,623,0
1647260983005,618,0
1647260983021,618,0
1647260983594,611,0
1647260983611,611,0
1647260984195,581,0
1647260984212,581,0
1647260984681,559,0
1647260984699,559,0
1647260985319,572,0
1647260985337,572,0
1647260985918,599,0
1647260985937,599,0
1647260986520,604,0
1647260986536,604,0
1647260987081,587,0
1647260987098,587,0
1647260987643,523,0
1647260987660,523,0
1647260988132,504,0
1647260988149,504,0
1647260988693,577,0
1647260988710,577,0
1647260989294,595,0
1647260989311,595,0
1647260989893,602,0
1647260989909,602,0
1647260990457,599,0
1647260990474,599,0
1647260991055,580,0
1647260991073,580,0
1647260992632,584,0
1647260992649,584,0
1647260993194,608,0
1647260993211,608,0
1647260993843,612,0
1647260993859,612,0
1647260994507,616,0
1647260994525,616,0
1647260995069,632,0
1647260995086,632,0
1647260995781,642,0
1647260995798,642,0
1647260996307,620,0
1647260996324,620,0
1647260996980,605,0
1647260996998,605,0
1647260997582,603,0
1647260997600,603,0
1647260998145,596,0
1647260998162,596,0
1647260998743,591,0
1647260998761,591,0
1647260999344,579,0
1647260999362,579,0
1647260999905,586,0
1647260999923,586,0
1647261000508,611,0
1647261000525,611,0
1647261001144,616,0
1647261001162,616,0
1647261001780,616,0
1647261001798,616,0
1647261002382,622,0
1647261002399,622,0
1647261002993,626,0
1647261003010,626,0
1647261003657,614,0
1647261003674,614,0
1647261004196,590,0
1647261004213,590,0
1647261004755,584,0
1647261004772,584,0
1647261005420,606,0
1647261005438,606,0
1647261006018,600,0
1647261006034,600,0
1647261006582,596,0
1647261006599,596,0
1647261007220,611,0
1647261007237,611,0
1647261007830,613,0
1647261007847,613,0
1647261008457,611,0
1647261008474,611,0
1647261009095,613,0
1647261009111,613,0
1647261009705,616,0
1647261009721,616,0
1647261010257,617,0
1647261010274,617,0
1647261010968,622,0
1647261010986,622,0
1647261011573,637,0
1647261011587,637,0
1647261012207,634,0
1647261012225,634,0
1647261012843,643,0
1647261012859,643,0
1647261013520,644,0
1647261013537,644,0
1647261014157,646,0
1647261014174,646,0
1647261014793,639,0
1647261014810,639,0
1647261015396,637,0
1647261015413,637,0
1647261016070,634,0
1647261016087,634,0
1647261016680,649,0
1647261016694,649,0
1647261017457,651,0
1647261017474,651,0
1647261018018,671,0
1647261018035,671,0
1647261018695,656,0
1647261018713,656,0
1647261019332,636,0
1647261019350,636,0
1647261019943,639,0
1647261019961,639,0
1647261020569,633,0
1647261020586,633,0
1647261021207,626,0
1647261021224,626,0
1647261021806,612,0
1647261021823,612,0
1647261022407,604,0
1647261022425,604,0
1647261023344,631,0
1647261023362,631,0
1647261024557,625,0
1647261024574,625,0
1647261025220,623,0
1647261025238,623,0
1647261025819,617,0
1647261025837,617,0
1647261026432,616,0
1647261026449,616,0
1647261027958,613,0
1647261027975,613,0
1647261028595,615,0
1647261028612,615,0
1647261029208,622,0
1647261029225,622,0
1647261029831,628,0
1647261029848,628,0
1647261030470,624,0
1647261030487,624,0
1647261031084,626,0
1647261031101,626,0
1647261031706,627,0
1647261031723,627,0
1647261032345,632,0
1647261032362,632,0
1647261032943,623,0
1647261032960,623,0
1647261033582,603,0
1647261033599,603,0
1647261034159,610,0
1647261034176,610,0
1647261034781,607,0
1647261034798,607,0
