RR_timestamps_ST,RR_ST,target
1642422280952,703,0
1642422281627,702,0
1642422282376,721,0
1642422284215,870,0
1642422284890,751,0
1642422285715,744,0
1642422286427,739,0
1642422287177,741,0
1642422287853,732,0
1642422289615,691,0
1642422290329,710,0
1642422291078,705,0
1642422291722,705,0
1642422292391,677,0
1642422293063,648,0
1642422293703,654,0
1642422294376,668,0
1642422295053,674,0
1642422295765,677,0
1642422296411,672,0
1642422297076,657,0
1642422297716,659,0
1642422298390,662,0
1642422299064,663,0
1642422299702,665,0
1642422300377,669,0
1642422301053,681,0
1642422301772,676,0
1642422302292,658,0
1642422303753,679,0
1642422304398,657,0
1642422305064,654,0
1642422305747,665,0
1642422306345,660,0
1642422307015,646,0
1642422307728,659,0
1642422308516,675,0
1642422309077,686,0
1642422309752,687,0
1642422310428,706,0
1642422311252,710,0
1642422311860,708,0
1642422312572,691,0
1642422313246,676,0
1642422313916,682,0
1642422314634,682,0
1642422315233,679,0
1642422315910,678,0
1642422316584,674,0
1642422317296,677,0
1642422318040,687,0
1642422318679,684,0
1642422319358,693,0
1642422320065,675,0
1642422320703,647,0
1642422321417,661,0
1642422322052,678,0
1642422322730,674,0
1642422323441,663,0
1642422324040,666,0
1642422324725,670,0
1642422325353,678,0
1642422326109,697,0
1642422326779,684,0
1642422327415,658,0
1642422328059,628,0
1642422328729,642,0
1642422329365,666,0
1642422330041,679,0
1642422330722,699,0
1642422331504,713,0
1642422332215,704,0
1642422332854,688,0
1642422333567,684,0
1642422334240,682,0
1642422334885,681,0
1642422335560,680,0
1642422336234,677,0
1642422336941,678,0
1642422337616,680,0
1642422338333,678,0
1642422339004,671,0
1642422339610,681,0
1642422340284,666,0
1642422340954,652,0
1642422341628,658,0
1642422342303,689,0
1642422343016,705,0
1642422343736,709,0
1642422344479,715,0
1642422345234,728,0
1642422345948,732,0
1642422346804,808,0
1642422347561,822,0
1642422348228,711,0
1642422348942,705,0
1642422349617,680,0
1642422350372,698,0
1642422351048,719,0
1642422351792,749,0
1642422352617,739,0
1642422353442,788,0
1642422354116,746,0
1642422354792,716,0
1642422355505,696,0
1642422356104,660,0
1642422356705,641,0
1642422357425,644,0
1642422358052,649,0
1642422358736,663,0
1642422359480,674,0
1642422360116,671,0
1642422360905,672,0
1642422362479,709,0
1642422363229,696,0
1642422363905,698,0
1642422364580,673,0
1642422365253,693,0
1642422365930,691,0
1642422366573,660,0
1642422368481,687,0
1642422369078,688,0
1642422369793,688,0
1642422370505,688,0
1642422371216,696,0
1642422371855,693,0
1642422372643,687,0
1642422373247,679,0
1642422374862,641,0
1642422375605,673,0
1642422376317,709,0
1642422376993,708,0
1642422377780,720,0
1642422378418,708,0
1642422379129,698,0
1642422379805,687,0
1642422380481,682,0
1642422381229,684,0
1642422381793,667,0
1642422382543,645,0
1642422383142,640,0
1642422383712,645,0
1642422384426,659,0
1642422385098,668,0
1642422385807,674,0
1642422386443,678,0
1642422387153,684,0
1642422387793,668,0
1642422388506,663,0
1642422389104,673,0
1642422389818,667,0
1642422390493,666,0
1642422392111,688,0
1642422392743,672,0
1642422393456,667,0
1642422394054,664,0
1642422394731,625,0
1642422395366,629,0
1642422396006,649,0
1642422396652,671,0
1642422397361,674,0
1642422398031,676,0
1642422398706,675,0
1642422399379,671,0
1642422400056,679,0
1642422400806,683,0
1642422401443,681,0
1642422402117,680,0
1642422402800,696,0
1642422403477,704,0
1642422404254,705,0
1642422404931,703,0
1642422405606,702,0
1642422406320,702,0
1642422406993,700,0
1642422407706,698,0
1642422408427,698,0
1642422409129,698,0
1642422409881,706,0
1642422410556,727,0
1642422410667,749,0
1642422411386,713,0
1642422411793,673,0
1642422412850,734,0
1642422413482,721,0
1642422414230,715,0
1642422414906,703,0
1642422415625,707,0
1642422416414,738,0
1642422417267,831,0
1642422418094,831,0
1642422418737,753,0
1642422419528,743,0
1642422420117,649,0
1642422420794,675,0
1642422421507,692,0
1642422422224,726,0
1642422423043,763,0
1642422423795,772,0
1642422424582,773,0
1642422425293,760,0
1642422426044,744,0
1642422426794,727,0
1642422427477,722,0
1642422428149,713,0
1642422428863,693,0
1642422429644,693,0
1642422430318,694,0
1642422430926,681,0
1642422431707,680,0
1642422432381,699,0
1642422433057,694,0
1642422433736,676,0
