nni_counter,nni_mean,nni_min,nni_max,hr_mean,hr_min,hr_max,hr_std,nni_diff_min,nni_diff_max,sdnn,rmssd,sdsd,nn50,pnn50,nn20,pnn20,tinn_n,tinn_m,tinn,tri_index,abs_energy,autocorr,mean,median,std,entropy,interq_range,mean_abs_dev,mean_abs_diff,mean_diff,median_abs_dev,median_abs_diff,median_diff,kurtosis,skewness,slope,sd1,sd2,total_power,vlf,lf,hf,lf_hf,lfnu,hfnu,bw,spec_ent,spec_decr, spec_dist,spec_kurt, spec_roll_95,spec_skew,spec_var,spec_centroid,energy,fundamental_freq,med_freq,auc,human_energy,ID,session
501,599.370998003992,519.55,1017.6,100.53394388406193,58.9622641509434,115.48455394091042,6.155631406937819,0,347,42.62507615244805,28.880744793027763,23.287406440121558,23,4.6,135,27.0,539.0625,664.0625,125.0,9.10909090909091,180890490.7759,180890490.7759,599.370998003992,591.82,42.582514907533294,0.6571211808220847,39.059999999999945,27.85203357755546,17.1137,0.1445399999999997,19.52999999999986,11.719999999999914,0.0,22.40719410393671,3.2749052838860258,0.0014238957940696,20.441966931247997,56.70908412226171,938.7556536487676,78.77394381144973,282.14178865957643,577.8399211777413,0.48826981023485,32.80788247379692,67.19211752620308,0.250208507089241,0.5869386287327529,-13.135404174195802,-1278580880.8402078,41.9309146878664,0.6210350584307179,5.699896770478947,0.9147093158753776,0.131890146859943,2917336.433313428,0.006677796327212,0.0,180411.23672672745,1.8685487109210757e-05,10,1
505,593.2002772277228,498.06,1017.6,101.69863133880467,58.9622641509434,120.46741356463076,7.158323167959052,0,347,46.7949323577611,28.30762328966393,23.51656692431033,25,4.9603174603174605,122,24.20634920634921,507.8125,656.25,148.4375,10.306122448979592,178806359.206,178806359.206,593.2002772277228,587.9100000000001,46.74857778238414,0.6812075923713541,44.92999999999984,31.296547240466627,15.792083333333332,-0.1899007936507939,21.49000000000001,9.759999999999993,-1.9500000000000453,16.163524692130515,2.504627977907913,-0.0950436217534786,20.035948777994843,63.07211860481967,1053.0228290444115,173.06760769623023,304.6533013760184,575.3019199721629,0.5295537713323808,34.62145504509404,65.37854495490595,0.2674467195988299,0.5663560080800504,-12.338237852700624,-1283027329.6116662,37.0447795892488,0.6627615062761506,5.424677257631961,0.7676797606829943,0.141895016280584,2867414.034489312,0.006694560669456,0.0,178382.4496209913,1.9992338847976964e-05,10,1
511,586.6976320939334,498.06,1189.5,102.968851281507,50.44136191677176,120.46741356463076,7.626672845558903,0,619,56.648731969866645,56.779941359465255,53.98175099313715,21,4.117647058823529,96,18.823529411764707,515.625,656.25,140.625,9.641509433962264,177530041.1841,177530041.18409997,586.6976320939334,580.0999999999999,56.59327553761131,0.6769698689028433,42.97000000000003,32.17395981173478,17.766431372549015,-0.0650980392156861,21.489999999999892,7.810000000000002,-1.949999999999932,45.22572438693234,5.180010906325137,-0.0682495125618734,40.188875374602624,69.3037658696282,1134.487734720749,278.8345881813383,266.3804558513515,589.2726906880592,0.4520495520339057,31.131826830614276,68.86817316938574,0.277360066833751,0.6144924825435908,-8.572830027245132,-1431852289.8611312,25.032420666443564,1.0267558528428091,4.237221446659502,0.6605372838324985,0.2076171968973674,2820601.560954567,0.0033444816053511,0.0,176734.89080508097,0.0001289473448704,10,1
511,585.9790215264188,498.06,1287.1999999999998,103.1834809709431,46.6128029832194,120.46741356463076,7.790777923791981,0,705,63.208848336766266,70.85177208405572,68.09453378497682,21,4.117647058823529,85,16.666666666666664,507.8125,656.25,148.4375,10.428571428571429,177500425.22399998,177500425.22399998,585.9790215264188,578.14,63.1469698605174,0.6739514187180949,45.89999999999998,32.547062626138846,19.80403921568627,0.1110588235294115,23.42999999999995,7.809999999999974,0.0,57.82986540365973,6.327699011514276,-0.0361150605790265,50.14889666157684,73.99868363523183,1470.7977349143398,373.7000400373011,467.3618814533493,629.7358134236894,0.7421554745512082,42.59984171288689,57.4001582871131,0.4818067754077791,0.6298032996109033,-7.400850246316657,-1517780663.1455102,23.298525297685256,1.0418760469011723,4.011973469161773,0.7133218815282085,0.2255112263229529,2825545.6798538934,0.0067001675041876,0.0033500837520938,176455.74265069212,0.0001657231288535,10,1
509,589.463438113949,498.06,1287.1999999999998,102.62304316232571,46.6128029832194,120.46741356463076,8.075886828757024,0,705,64.70827030171311,71.10663840179163,68.18545983305624,21,4.133858267716536,94,18.50393700787401,507.8125,656.25,148.4375,10.387755102040815,178987854.1451,178987854.1451,589.463438113949,582.05,64.64467493470103,0.6828526602204134,46.88,34.656569953026285,20.39728346456693,0.0192125984251968,23.44000000000005,7.810000000000059,0.0,51.47335537097639,5.850802068042251,0.0659182132454181,50.32954572284247,76.42811863582305,1365.2523602502538,530.8527729745903,423.3639722989447,411.035614976719,1.0299934041553165,50.73875619728422,49.2612438027158,0.5609348914858097,0.6200056817005238,-7.394984479054406,-1537029185.386326,23.519008245694376,1.035923141186299,4.027578051177887,0.6419558342689131,0.2231161449047092,2862891.561619002,0.0033416875522138,0.0033416875522138,177961.63282268483,0.0001613045470067,10,1
505,594.4844554455447,498.06,1287.1999999999998,101.8096365020084,46.6128029832194,120.46741356463076,8.341043489104983,0,705,66.90694134207956,77.38266068187593,74.02721173669546,28,5.555555555555555,111,22.02380952380952,507.8125,671.875,164.0625,11.22222222222222,180729118.2771,180729118.2771,594.4844554455447,587.9100000000001,66.84066401888627,0.6975928560875096,50.77999999999997,36.96131908636409,22.779841269841263,0.0,25.3900000000001,9.759999999999993,0.0,48.81110102270965,5.6340384696778525,0.1521855834651794,54.77216856310663,77.15625153154852,1418.2788584599816,640.290763162246,310.4388238721999,467.5492714255357,0.6639702868655672,39.902773030658665,60.097226969341335,0.557363370880267,0.6245803345362595,-7.284414949933721,-1548579218.5729978,21.864714208585244,1.0726817042606516,3.901381985304612,0.6344274627033005,0.2391698325223371,2911534.763407705,0.0033416875522138,0.0033416875522138,179545.85861638476,0.0001764251587668,10,1
463,649.0229125411348,343.75,1269.5,93.02959394456214,47.262701851122486,174.54545454545453,7.5253231595808865,0,642,53.88161763272752,53.1758423851015,46.57352398622668,42,9.090909090909092,190,41.125541125541126,570.3125,726.5625,156.25,9.645833333333334,196371124.7526121,196371124.75261217,649.0229125411348,640.63,53.823398687975946,0.7058063804781988,54.690000000000055,36.32758295386855,25.75406926406926,0.0,27.34999999999991,17.579999999999927,1.9599999999999227,38.80812421649296,3.0877168849613152,-0.0648808690093774,37.64175864801921,66.25372022251412,1359.960283323407,238.2945868175398,213.2382022787978,908.4274942270694,0.2347333206380223,19.01085171304268,80.9891482869573,0.4866666666666667,0.6068119743470953,-10.41108930022322,-1467743850.874464,25.649773151176937,0.9741451209341118,4.279671377652189,0.5798449277419169,0.1961624360845926,3428447.257832548,0.0033361134278565,0.0,195660.16199374525,8.828952353224842e-05,10,2
465,647.0086204441836,343.75,1269.5,93.29622494090432,47.262701851122486,174.54545454545453,7.380542148591075,0,570,52.9049757777244,43.8409390796449,36.66874198286333,41,8.836206896551724,187,40.30172413793103,578.125,710.9375,132.8125,8.61111111111111,195957078.56041217,195957078.5604121,647.0086204441836,638.67,52.848058089618256,0.7024384715685287,52.72999999999991,34.71827385064476,24.09002155172414,-1.3848060344827586,25.389999999999876,15.63000000000011,0.0,42.23882177362248,3.3299428692805417,-0.1548011276103373,31.018199157970223,68.08629998083099,787.5641385798162,166.75809709355082,287.2078025058468,333.5982389804187,0.8609392045462957,46.26369321700631,53.736306782993694,0.4962531223980017,0.6460479792073012,-8.389604841411114,-1412391972.8038576,8.534959553572925,2.606666666666667,2.4786071506875778,0.6035654240949808,0.4214235671621078,3398180.724926276,0.0033333333333333,0.0,194970.65739877784,0.0001739421991326,10,2
471,637.0872155128352,343.75,1228.5,94.69414460218589,48.84004884004884,174.54545454545453,7.138790901834265,0,667,49.3546800188858,51.73283802331141,46.292141415323066,32,6.808510638297872,164,34.8936170212766,578.125,703.125,125.0,7.983050847457627,192314402.28671217,192314402.2867121,637.0872155128352,632.81,49.30225867640474,0.688634745435245,50.77999999999997,32.13803137512997,23.192319148936168,-0.1454255319148936,23.44000000000005,14.649999999999975,0.0,45.04895407680539,3.367460173114619,-0.0773278491284646,36.619473672730464,59.420392353681166,764.6412357083913,29.57700992583837,274.7324143176571,460.3318114648958,0.5968138796304061,37.37529384254494,62.624706157455066,0.5242070116861436,0.6522561396347119,-10.48685498925566,-1423041613.5438557,23.81748949344433,1.0225563909774436,4.11201119769985,0.7478624987913969,0.2065482663940094,3294676.083569336,0.0033416875522138,0.0,191577.0014544956,0.0001012020787879,10,2
471,636.7158174097665,439.45,1228.5,94.6723593112934,48.84004884004884,136.5343042439413,6.186750485160059,0,667,47.260132221303614,53.14672931631142,47.75451765057052,27,5.74468085106383,171,36.38297872340426,570.3125,710.9375,140.625,8.263157894736842,191996466.5837,191996466.5837,636.7158174097665,632.81,47.20993557174728,0.6860117993155543,48.82000000000005,31.07153979652093,23.429319148936163,0.0831063829787235,23.42999999999995,14.649999999999975,0.0,51.595983861368055,4.253076031618746,0.0299767583683432,37.62040977482116,55.24260098442814,917.0058338695394,49.44100208417848,396.7782709716213,470.7865608137396,0.8427986353004697,45.734711278590176,54.26528872140983,0.5614035087719298,0.6608928579446661,-10.75886108459156,-1405929398.5531774,24.09426715138364,0.9933110367892976,4.097747943997717,0.7514430792618891,0.2039380252535091,3284986.479710081,0.0033444816053511,0.0,191176.51119661564,0.0001205916338279,10,2
